日期,收市,開市,高,低,成交量,升跌（%）
2021/2/18,"1,775.49","1,776.69","1,789.88","1,767.98",,-0.04%
2021/2/19,"1,782.31","1,776.19","1,791.70","1,760.13",,0.38%
2021/2/22,"1,808.66","1,782.24","1,812.76","1,780.46",,1.48%
2021/2/23,"1,805.06","1,809.09","1,816.27","1,795.78",,-0.20%
2021/2/24,"1,804.36","1,805.34","1,813.99","1,783.30",,-0.04%
2021/2/25,"1,769.88","1,804.80","1,806.06","1,765.44",,-1.91%
2021/2/26,"1,733.49","1,770.49","1,776.10","1,717.26",,-2.06%
2021/3/1,"1,723.84","1,733.40","1,760.02","1,719.52",,-0.56%
2021/3/2,"1,738.09","1,724.10","1,738.89","1,707.18",,0.83%
2021/3/3,"1,710.95","1,738.59","1,740.85","1,701.94",,-1.56%
2021/3/4,"1,697.19","1,711.84","1,723.34","1,690.64",,-0.80%
2021/3/5,"1,700.86","1,698.59","1,707.76","1,687.12",,0.22%
2021/3/8,"1,681.24","1,702.80","1,714.45","1,676.70",,-1.15%
2021/3/9,"1,715.36","1,682.55","1,720.83","1,679.80",,2.03%
2021/3/10,"1,726.05","1,715.94","1,726.76","1,707.99",,0.62%
2021/3/11,"1,721.41","1,726.55","1,739.99","1,719.38",,-0.27%
2021/3/12,"1,726.41","1,721.59","1,728.42","1,698.85",,0.29%
2021/3/15,"1,731.84","1,727.74","1,734.99","1,721.31",,0.31%
2021/3/16,"1,730.94","1,730.57","1,741.40","1,725.80",,-0.05%
2021/3/17,"1,744.44","1,730.61","1,751.81","1,724.14",,0.78%
2021/3/18,"1,736.41","1,745.09","1,755.59","1,719.05",,-0.46%
2021/3/19,"1,744.74","1,735.90","1,746.88","1,728.04",,0.48%
2021/3/22,"1,738.69","1,745.74","1,747.18","1,727.40",,-0.35%
2021/3/23,"1,727.11","1,739.05","1,742.85","1,724.42",,-0.67%
2021/3/24,"1,734.19","1,727.80","1,738.56","1,723.85",,0.41%
2021/3/25,"1,726.82","1,735.65","1,745.95","1,721.84",,-0.42%
2021/3/26,"1,731.97","1,727.30","1,737.01","1,721.23",,0.30%
2021/3/29,"1,711.99","1,732.15","1,733.34","1,705.58",,-1.15%
2021/3/30,"1,684.80","1,712.55","1,714.74","1,678.85",,-1.59%
2021/3/31,"1,707.01","1,685.59","1,715.28","1,677.93",,1.32%
2021/4/1,"1,730.18","1,708.09","1,730.80","1,705.42",,1.36%
2021/4/2,"1,728.84","1,730.47","1,732.55","1,728.67",,-0.08%
2021/4/5,"1,728.44","1,728.74","1,733.75","1,721.22",,-0.02%
2021/4/6,"1,743.57","1,728.49","1,745.68","1,726.82",,0.88%
2021/4/7,"1,737.28","1,742.96","1,744.57","1,730.13",,-0.36%
2021/4/8,"1,755.94","1,737.84","1,759.13","1,732.99",,1.07%
2021/4/9,"1,743.10","1,756.54","1,757.47","1,731.09",,-0.73%
2021/4/12,"1,732.51","1,743.80","1,745.36","1,727.18",,-0.61%
2021/4/13,"1,743.83","1,732.59","1,749.23","1,723.27",,0.65%
2021/4/14,"1,736.00","1,744.30","1,749.58","1,732.13",,-0.45%
2021/4/15,"1,763.21","1,737.10","1,769.91","1,734.10",,1.57%
2021/4/16,"1,776.31","1,763.84","1,784.07","1,759.79",,0.74%
2021/4/19,"1,769.31","1,779.50","1,790.54","1,765.98",,-0.39%
2021/4/20,"1,777.25","1,770.30","1,780.77","1,763.18",,0.45%
2021/4/21,"1,793.46","1,778.64","1,797.98","1,775.95",,0.91%
2021/4/22,"1,783.94","1,794.15","1,798.29","1,776.83",,-0.53%
2021/4/23,"1,777.18","1,784.33","1,796.06","1,770.05",,-0.38%
2021/4/26,"1,780.19","1,776.34","1,783.69","1,768.70",,0.17%
2021/4/27,"1,776.69","1,780.42","1,785.90","1,773.52",,-0.20%
2021/4/28,"1,781.32","1,776.80","1,782.85","1,762.56",,0.26%
2021/4/29,"1,771.24","1,780.90","1,790.43","1,756.19",,-0.57%
2021/4/30,"1,768.59","1,772.90","1,773.98","1,763.73",,-0.15%
2021/5/3,"1,792.36","1,768.49","1,798.22","1,765.91",,1.34%
2021/5/4,"1,778.48","1,792.29","1,799.38","1,770.84",,-0.77%
2021/5/5,"1,786.44","1,778.91","1,788.35","1,769.95",,0.45%
2021/5/6,"1,815.18","1,787.09","1,818.21","1,781.67",,1.61%
2021/5/7,"1,830.48","1,815.48","1,843.45","1,812.90",,0.84%
2021/5/10,"1,835.44","1,833.24","1,845.53","1,830.09",,0.27%
2021/5/11,"1,836.94","1,834.58","1,842.32","1,817.68",,0.08%
2021/5/12,"1,815.44","1,837.40","1,843.69","1,813.00",,-1.17%
2021/5/13,"1,826.57","1,815.90","1,828.81","1,808.78",,0.61%
2021/5/14,"1,842.19","1,826.49","1,845.55","1,819.79",,0.86%
2021/5/17,"1,866.13","1,843.84","1,868.80","1,841.24",,1.30%
2021/5/18,"1,868.22","1,866.59","1,875.40","1,862.94",,0.11%
2021/5/19,"1,869.57","1,869.59","1,890.15","1,851.94",,0.07%
